Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990,3.1,2.9,2.7,3.0,3.0,3.1,3.8,3.6,3.5,3.4,3.4,3.3
1991,4.2,4.5,4.5,4.3,4.6,4.9,5.2,5.1,5.0,4.7,4.5,4.4
1992,5.6,5.6,5.7,5.6,5.9,6.4,6.6,6.5,6.5,5.8,5.9,5.5
1993,6.2,6.2,6.2,6.1,6.0,6.5,6.7,6.4,6.2,6.0,5.7,5.2
1994,6.2,6.0,5.8,5.7,5.4,5.8,6.1,5.9,5.6,5.3,4.8,4.3
1995,5.2,5.1,5.1,5.4,5.2,5.5,5.9,5.6,5.3,4.9,4.6,4.1
1996,4.9,4.4,4.3,4.3,4.2,4.3,4.7,4.2,4.0,3.7,3.5,3.1
1997,3.7,3.4,3.5,3.3,3.2,3.7,3.9,3.8,3.6,3.2,3.0,2.8
1998,3.2,3.1,3.2,2.9,2.9,3.3,3.5,3.4,3.3,3.0,2.7,2.4
1999,2.9,2.7,2.6,2.5,2.3,2.7,2.9,2.7,2.5,2.4,2.2,2.0
2000,3.4,3.2,3.3,2.9,3.0,3.5,3.5,3.4,3.1,3.0,3.0,2.7
2001,3.5,3.4,3.7,3.7,3.8,4.5,4.8,5.1,5.0,5.6,5.7,5.4
2002,6.4,6.2,6.4,6.2,5.9,6.5,6.5,6.5,6.3,6.3,6.3,6.1
2003,6.6,6.4,6.6,6.3,6.1,6.9,6.6,6.4,6.1,6.0,5.9,5.3
2004,6.0,5.7,6.0,5.5,5.1,5.5,5.5,5.2,4.9,5.0,5.1,4.6
2005,5.0,5.0,5.0,4.6,4.3,4.8,4.8,4.7,4.5,4.5,4.5,4.0
2006,4.3,4.3,4.2,3.9,3.7,4.1,4.3,4.1,3.8,3.6,3.8,3.5
2007,4.2,4.0,4.0,3.8,3.7,4.2,4.4,4.2,4.1,4.0,4.1,4.0
2008,4.4,4.2,4.4,4.1,4.5,5.1,5.5,5.6,5.4,5.6,5.9,6.2
2009,7.3,7.7,8.2,7.9,8.2,8.9,9.0,9.0,8.9,8.9,8.8,8.7
2010,9.1,8.9,9.1,8.6,8.3,8.7,8.8,8.7,8.5,8.5,8.7,8.1
2011,8.5,8.2,8.2,7.7,7.6,8.2,8.2,8.0,7.7,7.6,7.3,7.0
2012,7.4,7.3,7.2,6.6,6.6,7.0,7.0,6.7,6.2,6.1,6.0,5.8
2013,6.2,5.8,5.6,5.1,5.2,5.6,5.6,5.4,5.1,5.2,4.9,4.5
2014,4.9,4.8,4.8,4.0,4.1,4.3,4.6,4.4,4.1,4.0,4.0,3.6
2015,4.0,3.7,3.5,3.3,,,,,,,,
